"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: mapType","Param: size"
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,232872",NaN,"s/op",SYNCHRONIZED_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"80,000000",NaN,"#",SYNCHRONIZED_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,010188",NaN,"s/op",SYNCHRONIZED_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"7520,000000",NaN,"#",SYNCHRONIZED_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,187830",NaN,"s/op",SYNCHRONIZED_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"705632,000000",NaN,"#",SYNCHRONIZED_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"8,973746",NaN,"s/op",SYNCHRONIZED_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"72388704,000000",NaN,"#",SYNCHRONIZED_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,017932",NaN,"s/op",SYNCHRONIZED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"80,000000",NaN,"#",SYNCHRONIZED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,053506",NaN,"s/op",SYNCHRONIZED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"7280,000000",NaN,"#",SYNCHRONIZED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,253642",NaN,"s/op",SYNCHRONIZED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"720080,000000",NaN,"#",SYNCHRONIZED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"13,372457",NaN,"s/op",SYNCHRONIZED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"72000080,000000",NaN,"#",SYNCHRONIZED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"0,992518",NaN,"s/op",RW_SYNCHRONIZED_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"192,000000",NaN,"#",RW_SYNCHRONIZED_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,012180",NaN,"s/op",RW_SYNCHRONIZED_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"7632,000000",NaN,"#",RW_SYNCHRONIZED_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,199732",NaN,"s/op",RW_SYNCHRONIZED_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"705744,000000",NaN,"#",RW_SYNCHRONIZED_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"8,681247",NaN,"s/op",RW_SYNCHRONIZED_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"72388816,000000",NaN,"#",RW_SYNCHRONIZED_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,001636",NaN,"s/op",RW_SYNCHRONIZED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"192,000000",NaN,"#",RW_SYNCHRONIZED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"0,990239",NaN,"s/op",RW_SYNCHRONIZED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"7392,000000",NaN,"#",RW_SYNCHRONIZED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,264504",NaN,"s/op",RW_SYNCHRONIZED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"720192,000000",NaN,"#",RW_SYNCHRONIZED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"13,212729",NaN,"s/op",RW_SYNCHRONIZED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"72000192,000000",NaN,"#",RW_SYNCHRONIZED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"0,997682",NaN,"s/op",CONCURRENT_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"64,000000",NaN,"#",CONCURRENT_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,001659",NaN,"s/op",CONCURRENT_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"7504,000000",NaN,"#",CONCURRENT_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,187938",NaN,"s/op",CONCURRENT_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"705616,000000",NaN,"#",CONCURRENT_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"8,908788",NaN,"s/op",CONCURRENT_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"72388688,000000",NaN,"#",CONCURRENT_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,006644",NaN,"s/op",NON_BLOCKING_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"872,000000",NaN,"#",NON_BLOCKING_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,009379",NaN,"s/op",NON_BLOCKING_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"9832,000000",NaN,"#",NON_BLOCKING_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,032791",NaN,"s/op",NON_BLOCKING_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"1106920,000000",NaN,"#",NON_BLOCKING_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,546419",NaN,"s/op",NON_BLOCKING_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"82332136,000000",NaN,"#",NON_BLOCKING_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,009420",NaN,"s/op",SHARDED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"2872,000000",NaN,"#",SHARDED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,035629",NaN,"s/op",SHARDED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"10072,000000",NaN,"#",SHARDED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,258494",NaN,"s/op",SHARDED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"722872,000000",NaN,"#",SHARDED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"13,991145",NaN,"s/op",SHARDED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"72002872,000000",NaN,"#",SHARDED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,047438",NaN,"s/op",LOCK_FREE_CHROMATIC_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"1368,000000",NaN,"#",LOCK_FREE_CHROMATIC_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,033234",NaN,"s/op",LOCK_FREE_CHROMATIC_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"12696,000000",NaN,"#",LOCK_FREE_CHROMATIC_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,084995",NaN,"s/op",LOCK_FREE_CHROMATIC_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"1121624,000000",NaN,"#",LOCK_FREE_CHROMATIC_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"2,563943",NaN,"s/op",LOCK_FREE_CHROMATIC_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"112001624,000000",NaN,"#",LOCK_FREE_CHROMATIC_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,033099",NaN,"s/op",SYNCHRONIZED_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"80,000000",NaN,"#",SYNCHRONIZED_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,010662",NaN,"s/op",SYNCHRONIZED_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"10592,000000",NaN,"#",SYNCHRONIZED_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,191864",NaN,"s/op",SYNCHRONIZED_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"902240,000000",NaN,"#",SYNCHRONIZED_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"8,979113",NaN,"s/op",SYNCHRONIZED_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"97554528,000000",NaN,"#",SYNCHRONIZED_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,015942",NaN,"s/op",SYNCHRONIZED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"80,000000",NaN,"#",SYNCHRONIZED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,001019",NaN,"s/op",SYNCHRONIZED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"7280,000000",NaN,"#",SYNCHRONIZED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,264486",NaN,"s/op",SYNCHRONIZED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"720080,000000",NaN,"#",SYNCHRONIZED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"13,766830",NaN,"s/op",SYNCHRONIZED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"72000080,000000",NaN,"#",SYNCHRONIZED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"0,993239",NaN,"s/op",RW_SYNCHRONIZED_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"192,000000",NaN,"#",RW_SYNCHRONIZED_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,034897",NaN,"s/op",RW_SYNCHRONIZED_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"10704,000000",NaN,"#",RW_SYNCHRONIZED_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,157930",NaN,"s/op",RW_SYNCHRONIZED_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"902352,000000",NaN,"#",RW_SYNCHRONIZED_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"8,882346",NaN,"s/op",RW_SYNCHRONIZED_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"97554640,000000",NaN,"#",RW_SYNCHRONIZED_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,000775",NaN,"s/op",RW_SYNCHRONIZED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"192,000000",NaN,"#",RW_SYNCHRONIZED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,016047",NaN,"s/op",RW_SYNCHRONIZED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"7392,000000",NaN,"#",RW_SYNCHRONIZED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,241013",NaN,"s/op",RW_SYNCHRONIZED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"720192,000000",NaN,"#",RW_SYNCHRONIZED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"14,499973",NaN,"s/op",RW_SYNCHRONIZED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"72000192,000000",NaN,"#",RW_SYNCHRONIZED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,002586",NaN,"s/op",CONCURRENT_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"64,000000",NaN,"#",CONCURRENT_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,027524",NaN,"s/op",CONCURRENT_HASH_MAP,100
